"","asignacion","ids_twitter"
"220","naim_bro",201708593
"221","naim_bro",1408941848413016064
"222","naim_bro",142293211
"223","naim_bro",112796335
"224","naim_bro",236602525
"225","naim_bro",139841744
"226","naim_bro",1394326579485028352
"227","naim_bro",170038667
"228","naim_bro",1138798557467688960
"229","naim_bro",4785731265
"230","naim_bro",43586215
"231","naim_bro",214294116
"232","naim_bro",734855524303405056
"233","naim_bro",96640348
"234","naim_bro",169345502
"235","naim_bro",337934982
"236","naim_bro",132302329
"237","naim_bro",895864305131724800
"238","naim_bro",12167942
"239","naim_bro",20880419
"240","naim_bro",52096295
"241","naim_bro",34636193
"242","naim_bro",78392484
"243","naim_bro",43590080
"244","naim_bro",1306595363617341440
"245","naim_bro",1406011594958589952
"246","naim_bro",1412952634697437184
"247","naim_bro",118923094
"248","naim_bro",179282810
"249","naim_bro",8633642
"250","naim_bro",1336495035995590656
"251","naim_bro",3097725243
"252","naim_bro",241317335
"253","naim_bro",191279165
"254","naim_bro",251290551
"255","naim_bro",1306003871341441024
"256","naim_bro",1267281107155853312
"257","naim_bro",2802352699
"258","naim_bro",1313534968430301184
"259","naim_bro",886687412356820992
"260","naim_bro",408430086
"261","naim_bro",491857782
"262","naim_bro",56123744
"263","naim_bro",789612317642256384
"264","naim_bro",1407484930574196736
"265","naim_bro",96628188
"266","naim_bro",122517942
"267","naim_bro",1411920919954542592
"268","naim_bro",11261512
"269","naim_bro",31704049
"270","naim_bro",2358719137
"271","naim_bro",99795503
"272","naim_bro",54090855
"273","naim_bro",15141705
"274","naim_bro",76864452
"275","naim_bro",1345205284868943872
"276","naim_bro",1362184649259307008
"277","naim_bro",1356451961697153024
"278","naim_bro",1348000798958088192
"279","naim_bro",120775594
"280","naim_bro",61636241
"281","naim_bro",920651975850643456
"282","naim_bro",1112026375421157376
"283","naim_bro",1187015482756534272
"284","naim_bro",2273826763
"285","naim_bro",1254452999621152768
"286","naim_bro",456921513
"287","naim_bro",903036943
"288","naim_bro",546546708
"289","naim_bro",3092252711
"290","naim_bro",726267049
"291","naim_bro",1229886123272482816
"292","naim_bro",132776292
"293","naim_bro",1272166368088113152
"294","naim_bro",1252020404400635904
"295","naim_bro",205273409
"296","naim_bro",1029687140
"297","naim_bro",173574280
"298","naim_bro",1409950923800055808
"299","naim_bro",762447478310379520
"300","naim_bro",1107494349640790016
"301","naim_bro",1616238726
"302","naim_bro",169619139
"303","naim_bro",30943158
"304","naim_bro",27489043
"305","naim_bro",273203647
"306","naim_bro",1204869224730107904
"307","naim_bro",191278208
"308","naim_bro",369674465
"309","naim_bro",385076006
"310","naim_bro",2298645746
"311","naim_bro",1399422225674129408
"312","naim_bro",2446306488
"313","naim_bro",101515682
"314","naim_bro",164490020
"315","naim_bro",1407506546670587904
"316","naim_bro",1104105031
"317","naim_bro",115962089
"318","naim_bro",1280984996359147520
"319","naim_bro",1362419218906570752
"320","naim_bro",1380290731110187008
"321","naim_bro",249218250
"322","naim_bro",37213088
"323","naim_bro",1251179721536278528
"324","naim_bro",69499941
"325","naim_bro",160381747
"326","naim_bro",145004866
"327","naim_bro",33645393
"328","naim_bro",1361845113341812736
"329","naim_bro",62906936
"330","naim_bro",1523707068
